id,name,link,art,description
2353,Heartstone,https://modrinth.com/mod/heartstone,https://cdn.modrinth.com/data/NBY6AFje/04c8dab714bf3c41c0f191621ab0ae0970f3a141_96.webp,"Heartstones are items which come in sets, and allows for people to find eachother when in the inventory."
2354,Iron Bookshelves,https://modrinth.com/mod/iron-bookshelves,https://cdn.modrinth.com/data/QmCOBeSP/b2ac82c6305d7a219e2c11713204e8191935adae_96.webp,Bookshelves with more enchantment power
2355,Adventures In Time - TARDIS,https://modrinth.com/mod/ait,https://cdn.modrinth.com/data/ZMP9ZjB9/43bd4bc4aa72c619f77b4f3f69b3ca09de1ef41e_96.webp,Adds the TARDIS from Doctor Who and more into Minecraft 1.20.1.
2356,Epic Fight - impactful,https://modrinth.com/mod/epic-fight-impactful,https://cdn.modrinth.com/data/CKnwEDfl/530cbc191c429e2f5b6c650d038662ac2451f689.png,An Epic Fight addon. Adding hit stop and screen shake for more impactful combat experience.
2357,Custom Biome Saplings,https://modrinth.com/datapack/terralith-biome-saplings,https://cdn.modrinth.com/data/CYGkXnUb/021748d686bc9203d8b96e041d06596289450e0b_96.webp,Allows Terralith and Blooming Biosphere trees to be regrown using vanilla saplings
2358,Cobble Contests,https://modrinth.com/mod/cobble-contests,https://cdn.modrinth.com/data/JUCZmH05/5025d756163d9d1a142c3d0479d1ea274ab29673.png,A side mod for cobblemon that tries to add contests from the main games
2359,Talk Balloons,https://modrinth.com/mod/talk-balloons,https://cdn.modrinth.com/data/l3tS9WUS/9d0cf1071d4df7130fdbd80af96d512e62bb722f_96.webp,Add bubbles above players heads when they send a message in the chat.
2360,Cave Spider Spawn,https://modrinth.com/mod/cave-spider-spawn,https://cdn.modrinth.com/data/9IUlkb2K/d7cc765d184b1b9f5ebdd57c22a1ef0b31f9ee90_96.webp,🕷️ Adds a chance for cave spiders to spawn naturally underground instead of a spider.
2361,Every Compat (Stone Zone),https://modrinth.com/mod/stone-zone,https://cdn.modrinth.com/data/uYwn8IP5/8c86c0aee0d9432c1f07f2b37412b988631aedf9.gif,"Universal Stone Compat: Create, Twigs, Stoneworks, and more..."
2362,Inline,https://modrinth.com/mod/inline,https://cdn.modrinth.com/data/fin1PX4m/097acf6d31272fc63dc900f8cdb1175c461cd35a.png,A mod for inline text rendering
2363,TNT Timer,https://modrinth.com/datapack/tnt-timer,https://cdn.modrinth.com/data/AihRqJiY/e5ebeee0e8acfd6df276613de8f234ab368ab514.png,Adds a timer above tnt which displays the time until it explodes.
2364,Fortunate Ancient Debris,https://modrinth.com/datapack/fortunate-ancient-debris,https://cdn.modrinth.com/data/eBvPjIeN/201d920cf47f4f3c978bc332ecd445d688a6b2f6_96.webp,Fortune works on ancient debris! Use fortune-enchanted pickaxes on ancient debris for more netherite scraps
2365,Overgrown's Cobblemon: Darkrai,https://modrinth.com/datapack/cobblemon-darkrai,https://cdn.modrinth.com/data/ObH1JZK9/af632a5874e1d2086e1756e4df4e5069952a84e4.png,Darkrai missing from your Cobblemon world? This pack fixes that!
2366,Resourceful Lootbags,https://modrinth.com/mod/resourceful-lootbags,https://cdn.modrinth.com/data/eE4G2ag6/2acfe3db0d92e7043ea8ef9047b85ac8e877f736.png,Adds customizable lootbags that allow pack developers to give randomized loot to players.
2367,Create: Renewable Brass,https://modrinth.com/datapack/create-renewable-brass,https://cdn.modrinth.com/data/AqQzrKJo/ad6f02076ec2b65d5c445ef99d4d7ac105fd5559_96.webp,This datapack adds recipes to make brass renewable.
2368,Treasure Bags,https://modrinth.com/mod/treasure-bags,https://cdn.modrinth.com/data/NRj2OOTf/69d645cd80c347189b67fbb3245a0570d46e800a.png,"Loot bags created with data packs, plus a starting inventory loot table"
2369,No More Phantoms,https://modrinth.com/datapack/no-more-phantoms,https://cdn.modrinth.com/data/Oe1SVpwg/2069aec0d32b080dba78cd1f528eecf12637bd48_96.webp,"Enforces the doInsomnia as false, preventing the phantom from spawning."
2370,Ice Prevents Crop Growth,https://modrinth.com/mod/ice-prevents-crop-growth,https://cdn.modrinth.com/data/6rPhicfw/508171193524b300d81393a39d9a1bf77d0a9c57_96.webp,"🧊 Crops growing with ice underneath will remain in the same stage, for design purposes."
2371,PKGBadges / CobbleBadges,https://modrinth.com/mod/pkgbadges,https://cdn.modrinth.com/data/vEkz5T55/99dcbd26a194319ffc5395d4807cef87794e6e8a.png,Cobblemon Pokemon GYM Badges
2372,[Let's Do Addon] Fluids,https://modrinth.com/mod/lets-do-addon-fluids,https://cdn.modrinth.com/data/PGVF51co/801eb65247144d003a5e7491c7bad94c1aec2f95_96.webp,Add fluids to the Let's Do series for even more modded usage !
2373,Industrial Foregoing: Souls,https://modrinth.com/mod/industrial-foregoing-souls,https://cdn.modrinth.com/data/R6YQjhwo/c6c951f048628cb3ccad9dba3fee942ec13173fa_96.webp,Use Warden's souls to accelerate your machines
2374,Nevermore!,https://modrinth.com/datapack/nevermore,https://cdn.modrinth.com/data/ASGfjFC9/c53313e2d935f91fb075783dcde4c5bb720e18e7.png,May there be bloodshed! Enjoy large content packs together.
2375,Solo Craft: Reawakening,https://modrinth.com/mod/solo-craft-reawakening,https://cdn.modrinth.com/data/YdsLXFph/4985c7b77b49dbb28dcfe63ed5b085caa173c498_96.webp,"Unofficial Manwha/Anime Solo Leveling Mod for Minecraft with gates, dungeons, weapons, classes and etc."
2376,RunicLib,https://modrinth.com/mod/runiclib,https://cdn.modrinth.com/data/mk0Htq87/d994254d01399821f3270bb6b4d75952807d39ea.png,"RunicLib is a library mod that adds MultiLoader utils, new attributes, and new effects for modders to utilize."
2377,dixta's Armory,https://modrinth.com/mod/dixtas-armory,https://cdn.modrinth.com/data/jqUZdpXo/a8f1fd5a87fc8f40170d461b6b246d095c39c59b.png,This Vanilla-style weapon mod aims to improve the combat experience by greatly enhancing the arsenal of gear that the player can choose from.
2378,Create Compressed,https://modrinth.com/mod/create-compressed,https://cdn.modrinth.com/data/Sy4Box1J/710673272efece7ff2ee69d9c3ab9f5e22579eef_96.webp,Adds full blocks for raw materials. Have less micro-management & more storage space!
2379,Bareback Horse Riding,https://modrinth.com/mod/bareback-horse-riding,https://cdn.modrinth.com/data/gc78ZRwD/2670cc160c098a93cb56c5ede4d6be44e672b15b_96.webp,🐎 Allows riding horses without a saddle with tweaked game mechanics.
2380,Structure Expansion,https://modrinth.com/mod/structure-expansion,https://cdn.modrinth.com/data/IKJL3zrR/c15e8ccc71f886945222fa4d56b6e40c34e91001_96.webp,Small mod that Increases the size limit of structure blocks and fill command
2381,Excessive Building,https://modrinth.com/mod/excessive-building,https://cdn.modrinth.com/data/2vsx0HYf/b3e7ee07273dfc80857697b21fb0892ef0980313.png,Excessive Building is a mod designed to enchance the building experience while maintaining Minecraft's style.
2382,"Dawn of the Flood - ""Reinforcements from Hell""",https://modrinth.com/mod/dawn-of-the-flood,https://cdn.modrinth.com/data/WZ49g0N6/9efe6a4bf8570eddbe0b6286a610560317e34978_96.webp,"This game changing minecraft mod adds the horrific flood virus from the original halo franchise into the game! Prepare yourself for this, because as experts say: “One single Flood spore can destroy a species.”"
2383,The Root of Fear,https://modrinth.com/mod/the-root-of-fear,https://cdn.modrinth.com/data/44mGKYce/c4204912d787adc201911fd52d52f234d71a1574_96.webp,"Adds a unique tree-like horror mob called the Wilted. Be prepared, because this terrifying experience is very different to the average dweller mod. The Wilted is a mutant relative of the Creaking that has escaped the Pale Garden."
2384,Netherite But Cheaper,https://modrinth.com/datapack/nbc,https://cdn.modrinth.com/data/hQNz0rXp/75b0d1a7bcab9e86d16a6068b3eb1b9d58cd796e.png,Doesn't change much at all other then some recipes to make netherite ever so slightly cheaper
2385,Shulker+,https://modrinth.com/mod/shulker+,https://cdn.modrinth.com/data/eU7ZC3fy/3ff2f49df6b4106124a8cc59377efc790d026d83_96.webp,Having trouble sorting your Shulker boxes? Looking for ways to better customize them so they stand out? We’re here to help.
2386,Treeplacer,https://modrinth.com/mod/treeplacer,https://cdn.modrinth.com/data/4im8hCxA/e82c67adc8087c9d052361a11f2e4e3ce27f0ad0.png,"Saplings can dynamically generate different trees, based on the biome they are grown in, declared in data files."
2387,Nether Weather,https://modrinth.com/datapack/netherweather,https://cdn.modrinth.com/data/XrxtjryC/c693ad94f375a7695f7159853131a1a0ea976c9e.png,"""Nether Weather"" is an addition to Minecraft that aims to make the Nether feel more like a real place by introducing 3 new weather types to it. You will now encounter lavafalls, storms and heatblasts (which replace storms in the Nether Wastes)."
2388,Create Ratatouille,https://modrinth.com/mod/create-ratatouille,https://cdn.modrinth.com/data/XM0ifg8q/941e07b5b6596ffa051cb4ab85b4127f7c51bf37_96.webp,Adds machine and items about  agricultural and food processing
2389,Unusual End,https://modrinth.com/mod/unusual_end,https://cdn.modrinth.com/data/WKsNOKFh/cfcd36dc00ac144237c2b65b0a8e985659592a3a_96.webp,An Improved Vanilla+ End !
2390,Salt,https://modrinth.com/mod/salt,https://cdn.modrinth.com/data/CrDd9QcD/a581f7f3131e0a0326dc7188f6757342edacbb33.png,Worth its weight in gold
2391,Climate Rivers,https://modrinth.com/mod/climate-rivers,https://cdn.modrinth.com/data/DzZWws4q/32c51cda59e1ad6c77a50b970f08149b90eec367_96.webp,Make your rivers stop looking like mistakes – and start flowing with style.
2392,Pure Emerald Tools,https://modrinth.com/mod/pureemeraldtools,https://cdn.modrinth.com/data/H4PePKPY/be00eaed1a4fa050251c34ecdafa2861bcd4c1c2.gif,"A unique take on emerald armor and tools, that just may fit your vibe."
2393,Iron Ender Chests,https://modrinth.com/mod/iron-ender-chests,https://cdn.modrinth.com/data/CRn27PTC/4de1d18da0739cfc88c3eadcdbbae407ad2499a4_96.webp,This mod adds upgrades to the Ender Chests. Chests with more storage space with similar functionality.
2394,Smelting Sand in Blast Furnace,https://modrinth.com/mod/smelting-sand-in-blast-furnace,https://cdn.modrinth.com/data/GhemPlCv/eb68a7ae8a2a839e6cd4c57153afd5354d1ec223_96.webp,Smelt Sand Faster in the Blast Furnace
2395,Error 404 Not Found (Horror Entity),https://modrinth.com/mod/error-404-not-found,https://cdn.modrinth.com/data/aqmlcBrn/9f37612a441f73b830e6b2fc0c0633454178e6a0_96.webp,Adds a mysterious entity into your world.
2396,Ben's Sharks,https://modrinth.com/mod/bens-sharks,https://cdn.modrinth.com/data/kF6ZFH7j/8722622cf13bb5e848da0cb109865cc8fb60b22c_96.webp,A simplistic approach towards one of the ocean's most complex creatures.
2397,Create: Train Perspective Fix,https://modrinth.com/mod/create-train-perspective-fix,https://cdn.modrinth.com/data/Xm1BSBfU/d9f78d4f14d2f8d63648ef22de7812aa9deeef35_96.webp,A very small mod that fixes the problem that the player on a train does not rotate with it while driving.
2398,Cosmic Horizons,https://modrinth.com/mod/cosmic-horizons-cosmos,https://cdn.modrinth.com/data/Mv7E5lAP/ee38985e0dbd2ab8038fa97a17e4f45e1b135b7d_96.webp,A Space Mod Never seen before!!!!! Revolutionising and adding space to Minecraft....🚀💫
2399,Cable Tiers,https://modrinth.com/mod/cable-tiers,https://cdn.modrinth.com/data/UsLNxQgK/768e39e95ce0adca26d0476e50fb6e08068bdcfb.png,"Adds better Exporter, Importer, Constructor, Destructor, Disk Interface, Autocrafter, Requester from Refined Storage and RSRequestify"
2400,Good Ending,https://modrinth.com/mod/good-ending,https://cdn.modrinth.com/data/O7B5FVvG/1d2cef80cac8709ffa4cefabce3c1a679cb5274d_96.webp,This mod aims to improve the wilderness of vanilla minecraft
2401,"LibreExpFix (Fixes ""0 Experience"" Bug)",https://modrinth.com/mod/libre-exp-fix,https://cdn.modrinth.com/data/qOQALrK4/aed7df58be8e888c71d7539277953877b98cd66c_96.webp,A small mod that fixed experience bug after teleporting across dimension
2402,Energized Power,https://modrinth.com/mod/energized-power,https://cdn.modrinth.com/data/6pku8gW1/c39fb477556c14c971678ad148ee9149a438e0ab.png,This is a technology Forge/NeoForge/Fabric mod with many machines.
2403,Switchy,https://modrinth.com/mod/switchy,https://cdn.modrinth.com/data/ss0QuCRx/ec9829eb1861be0efd453ab494e3dd456c4933c9.png,"Player presets that change nothing - including display name, skin, origin, inventory, and more! 
Possibly an account profiles mod, character swapper mod, or chat accessibility mod."
2404,Random Island,https://modrinth.com/datapack/randomisland,https://cdn.modrinth.com/data/zXGThYpi/b4ab1c8a338256413f2382532b7f2faf231e9abf_96.webp,随机方块空岛，6*3*3大小刷新，选择喜欢的模式通关吧 —— A skyblock with 6*3*3 refreshes random blocks beside it
2405,Gravelmon,https://modrinth.com/mod/gravelmon,https://cdn.modrinth.com/data/oxcT9Jpo/08760d9139ba3b32417c44b8f5dbc41df617cf46_96.webp,Gravelmon is a fakemon addon for the popular cobblemon mod that aims to add classic and notable fakemon to minecraft.
2406,CraftGR,https://modrinth.com/mod/craftgr,https://cdn.modrinth.com/data/lKYr4L6w/e20d56316f34ea791c36360f5be45eb1be0f8437_96.webp,A Touhou Project music player for Minecraft | Fan-made songs streamed from Gensokyo Radio
2407,Shulker Box Slot,https://modrinth.com/mod/shulker-box-slot,https://cdn.modrinth.com/data/R5T1RmWr/7494a38aff455e78f6d0ef0208c24c3c06894bd7.png,Adds accessory support for Shulker Boxes for easier access and management. Formerly known as Curious Shulker Boxes and Trinket Shulker Boxes.
2408,Reforged (formerly Tiered),https://modrinth.com/mod/tiered,https://cdn.modrinth.com/data/fQL9oTmq/a344fbf2326dd7973e6a2e4cad9f5c00aeb819ea_96.webp,Adds tiers/modifiers to tools.
2409,Oreganized,https://modrinth.com/mod/oreganized,https://cdn.modrinth.com/data/2FJutzEL/91477db5e5ae1dd45dee19aec340739b6180e15b_96.webp,"Oreganized is a mod that adds two new metals to minecraft, Lead, Silver, and the alloy Electrum.

All with their unique uses and abilities and not just a new meaningless toolset."
2410,Blahaj Expanded,https://modrinth.com/mod/mcr_blahaj,https://cdn.modrinth.com/data/faitfqhg/971ad208e760dd37df99e68a69ed7a39f1ef123d_96.webp,Expanded Fabric port of the Quilt mod BLAHAJ
2411,Adaptive Performance Tweaks: Player,https://modrinth.com/mod/adaptive-performance-tweaks-player,https://cdn.modrinth.com/data/jr5nzfKv/6d0e55569f80ef310d6b24a5d6c1baadbd7c8a7e_96.webp,"Protects players during login and provides a special ""easy"" mode for less experience and child players."
2412,Ambient Additions,https://modrinth.com/mod/ambientadditions,https://cdn.modrinth.com/data/EdXRAo60/53bf7ae4ce30b5284f3c30f3f4798b145791530e_96.webp,Adds more atmospheric critters to your world!
2413,Lampcrafting,https://modrinth.com/mod/lampcrafting,https://cdn.modrinth.com/data/Ec2eBEYf/1103e09f354f071c39043ec9aca6d086158e0b94.png,"Adds many new lamps: lamps with new patterns, shower lamps, colored lamps, large lamps, also lamps with their own mechanics. In addition, achievements are added"
2414,Labelling Containers,https://modrinth.com/mod/labelling-containers,https://cdn.modrinth.com/data/b2T42hfY/1e89873e43f645fb51956f94336efc40eafe5a33_96.webp,"A multiplayer compatible mod that allows players to set icons and label chests, shulker boxes, barrels and other containers without the need of signs."
2415,Peculiars,https://modrinth.com/mod/peculiars,https://cdn.modrinth.com/data/B73HVoud/80dd64aacae413a6b0f529b2b5e2abc6d2716ac5.png,Adds strange new foods to Team Abnormals' Neapolitan mod.
2416,Super Factory Manager,https://modrinth.com/mod/super-factory-manager,https://cdn.modrinth.com/data/aecUorJQ/c12b68f3a8f13ab6d977c5d7b6cbc644a82b72d6_96.webp,A programming language for moving stuff around in Minecraft
2417,Jumpy Boats,https://modrinth.com/mod/jumpy-boats,https://cdn.modrinth.com/data/Z6clHfIZ/572b22b552a3820f2050026e5eeeacd381235b95_96.webp,Make your boat travels easier by making small jumps while in the boat
2418,Oculus Particle Fix,https://modrinth.com/mod/oculus-particle-fix,https://cdn.modrinth.com/data/OLnTZMb7/5a508d14ce23afe71f2d5357ef789792d93fe1c3_96.webp,Fixes a visual glitch with the Oculus shader mod where particles are blinking through walls while picking up items
2419,Scannable,https://modrinth.com/mod/scannable,https://cdn.modrinth.com/data/YqFnwJHf/4a8c9c79be2670f236446632535247ce8ed67e7f_96.webp,"One scanner to find them, and with eye candy bind them."
2420,Village Hero+,https://modrinth.com/datapack/village-hero-plus,https://cdn.modrinth.com/data/BZnc0tTs/3de43d7a15b67df617af3e6670e552202ea385b5_96.webp,Get better gifts from villagers after defeating a raid
2421,The Last of us - Zombie Apocalypse,https://modrinth.com/mod/last-of-us-zombie-apocalypse,https://cdn.modrinth.com/data/LD3Wu7y5/26c635afb519e6dc746b299863b05eec67afc1d4_96.webp,"The closest you can get to The last of us.
BEST WHEN PLAYED WITH SIMPLE ANIMATED GUNS!
THIS MOD IS IN VERY EARLY DEVELOPMENT!"
2422,Crunchy Crunchy Advancements,https://modrinth.com/mod/crunchy-crunchy-advancements,https://cdn.modrinth.com/data/4lO2KZlF/icon.png,"No more advancements! Removes, Hides, and configurably takes a bite out of the advancements system, without breaking mods."
2423,Factory Blocks,https://modrinth.com/mod/factory-blocks,https://cdn.modrinth.com/data/ht0eTMEs/94328ee3516fd051e107c1527012002be7560dc7_96.webp,Adds Factory Blocks to Minecraft
2424,Vampire's Delight,https://modrinth.com/mod/vampires-delight,https://cdn.modrinth.com/data/9Vo2deFq/e51edeadec7b9323cf301f6c67bd7a19f79abedf.png,A compatibility mod for Vampirism and Farmer's Delight with garlic aftertaste.
2425,Carbon Config,https://modrinth.com/mod/carbon-config,https://cdn.modrinth.com/data/1jDdpgcc/b1ee0c4c1545d987636b568e8fa4f5651982e18b.png,IC2Classics Config Library
2426,Durability101,https://modrinth.com/mod/durability101,https://cdn.modrinth.com//data/Yt3rEMOb/icon.png,A rewrite of the original Durability101 mod
2427,JeremySeq's Damage Indicator,https://modrinth.com/mod/jeremyseqs-damage-indicator,https://cdn.modrinth.com/data/SGJfwZzw/e3cd687e07f529ebd4d57a3aa68d92bb2c4bc9bd_96.webp,Adds a directional damage indicator.
2428,XNet Gases,https://modrinth.com/mod/xnet-gases,https://cdn.modrinth.com/data/H1x2EwLg/63bdcd6eb40cca067a359daea72f882eb3d279ce_96.webp,Move mekanism chemicals around with the power of XNet
2429,Passive Endermen,https://modrinth.com/mod/passive-endermen,https://cdn.modrinth.com/data/N7UFQA9x/72a3872e72d1b8e18685f109bdd6f5c34623ac48_96.webp,"👍 Prevent an enderman from teleporting, placing/picking up blocks (griefing) and attacking when looked at."
2430,Fire Spread Tweaks,https://modrinth.com/mod/fire-spread-tweaks,https://cdn.modrinth.com/data/vgI7KTun/1956cf331abb24c942edb59ca07b1be7e3a37c9b_96.webp,🔥 Disables the default firespread and makes fire go out after a configurable delay.
2431,Create Big Cannons: Advanced Technologies,https://modrinth.com/mod/create-big-cannons-advanced-technologies,https://cdn.modrinth.com/data/pTfszyXD/a32623a917f53283b9ddfe1e833bf4179084bc41_96.webp,"An Addon for the Create Big Cannons Mod, adding new Cannons and Mechanics"
2432,Seasonal Let's Do,https://modrinth.com/mod/seasonal-lets-do,https://cdn.modrinth.com/data/yFIPn94r/b42dad338fd4f500e060e605d96959fcc01551a5_96.webp,Seasonal Let's Do is a mod that adds compatibility between Let's Do mods and Serene Seasons
2433,Mekanism: Ad Astra Ores,https://modrinth.com/mod/mekanism-ad-astra-ores,https://cdn.modrinth.com/data/KQwxMOPD/41b28dd28c38bc134df170ffec1627c2b46f5519.png,Adds Mekanism ores on Ad Astra planets.
2434,Faunify,https://modrinth.com/mod/faunify,https://cdn.modrinth.com/data/lqLPTalI/458c142743a67f2787fca3d3174dad9308fb8629_96.webp,Adds adorable wild animals and pets to your world!
2435,Weapons Expanded,https://modrinth.com/mod/weapons-expanded,https://cdn.modrinth.com/data/8pBLL0kb/652dd78c703aee72c9d629ae1a6d898b81507db2.png,"This mod adds new weapons, enchantments,  effects, advancements, and more."
2436,Create: Better Villagers,https://modrinth.com/mod/create-better-villagers,https://cdn.modrinth.com/data/kS90mr4y/e331b44b8f7a842e9962646fe8e345f72a134656_96.webp,Create: Better Villager that adds a host of Create-mod villager professions
2437,Primal Magick,https://modrinth.com/mod/primal-magick,https://cdn.modrinth.com/data/VlgDBPBy/5ac401dfc982ea30eaaf120ef83929ac2a981c7d_96.webp,Harness the magick of the primal sources of the land.
2438,Architect's Palette,https://modrinth.com/mod/architects-palette,https://cdn.modrinth.com/data/vt0VyseM/4df31c9d6f41e35e4659711b3f9a5b0910d33c49_96.webp,Block mod with good textures. Incredible.
2439,Create: Deep Dark [Forge/NeoForge],https://modrinth.com/mod/create-deep-dark,https://cdn.modrinth.com/data/knrLSB8n/c97b518288c062505f2b49de2e8646693032b6a5_96.webp,"A Create mod addon featuring new end-game items based on the Deep Dark biome, making venturing into Warden territory more fun and rewarding."
2440,RFTools Dimensions,https://modrinth.com/mod/rftools-dimensions,https://cdn.modrinth.com/data/N4D9AicU/b27496ebf906545a88ec1be7d822bb03ca612bbd_96.webp,This is an addon mod for RFTools which handles creation of dimensions
2441,Gilded Armor,https://modrinth.com/mod/gildedarmor,https://cdn.modrinth.com/data/8W2LklBN/icon.png,Gilded armor can be used to make piglins peaceful while using other armor.
2442,Foi1y Lantern Corps,https://modrinth.com/mod/foi1y-lantern-corps,https://cdn.modrinth.com/data/z4qKvISN/4a958978c9338d1d1a584ba48f14e66c21cbddcc_96.webp,Minecraft Palladium Lantern Corps Addon
2443,Illager Warship,https://modrinth.com/mod/illager-warship,https://cdn.modrinth.com/data/tUpIHo95/ce8075956c4838784be73141aa9d260f882d54f9_96.webp,adds a Giant Illager Warship to the oceans
2444,Origins: Vampire,https://modrinth.com/datapack/origins-vampire,https://cdn.modrinth.com/data/wXwvlA97/2fd50310ad5fd08fdd8f19f5cec0ea0b1307de78_96.webp,Origins: Vampire brings 2 new origins : Vampire and Vampire Lord
2445,Dragon Mount Datapack 2.0,https://modrinth.com/datapack/dragon-mount-datapack,https://cdn.modrinth.com/data/Qpj1K7w0/dcc2af9da74ef79e85209b2f63fed830bb48d762_96.webp,Dragon Mount Datapack adds the Ability to Hatch Dragon Eggs into Rideable Pet Dragons!
2446,Overgrown's Origins: Dietary Delights,https://modrinth.com/datapack/origins-dietary-delights,https://cdn.modrinth.com/data/BVkoXkly/cb38631c8a61ec8dd194cdc62384bfa67455c649_96.webp,A pack that adds compatibility between the Origins mod and a wide variety of food items from other mods.
2447,Vintage Animations,https://modrinth.com/mod/vintage-animations,https://cdn.modrinth.com/data/yY9ix3J0/845178843ef2850030d23d1df96dc4022fd16307_96.webp,Overhaul Animations of Basic Actions
2448,Arrow Collector,https://modrinth.com/mod/arrow-collector,https://cdn.modrinth.com/data/ez00YFnH/bd633aaddbe648275de32622c8032d1552a6eb1d_96.webp,Pick up the arrows on the ground (not Creative only anymore).
2449,squaremap,https://modrinth.com/plugin/squaremap,https://cdn.modrinth.com/data/PFb7ZqK6/6074e26ea9600af2cf87f33d3566a425ef309287_96.webp,"squaremap is a minimalistic & lightweight world map viewer for Minecraft servers, using the vanilla map rendering style"
2450,Spooky Foods,https://modrinth.com/mod/spooky-foods,https://cdn.modrinth.com/data/Iab86Kv6/cf202f7b12daea6964bd07a1fd8e8f0098dee197_96.webp,Adds spooky snacks with creepy effects
2451,Compost,https://modrinth.com/mod/compost,https://cdn.modrinth.com/data/1hn9SStW/icon.png,Make composters turn your food waste into whatever you want!
2452,Boat Better / Better Boat Movement,https://modrinth.com/mod/better-boat-movement,https://cdn.modrinth.com/data/wTfH1dkt/a9221646ce4c9cefe4e04ecae322e77fb9927389_96.webp,Improves (ice) boating by allowing you to step up blocks
2453,Project: Vibrant Journeys,https://modrinth.com/mod/project-vibrant-journeys,https://cdn.modrinth.com/data/Z8Xbk4yv/c0cb8ecd9e36e87807546e3b65fb37efbc92b457.png,A mod that aims to spice up vanilla survival
2454,BBS mod,https://modrinth.com/mod/bbs-mod,https://cdn.modrinth.com/data/HNsMvuaQ/b876075a18310b3b0745b8d424bf04dd550c1d35_96.webp,Animation studio and content creation tool
2455,Railcraft Reborn,https://modrinth.com/mod/railcraft-reborn,https://cdn.modrinth.com/data/rO6kKst6/c4a2e080da5322fab090c18944751a70cb70ccf7_96.webp,Redefine your rails!
2456,Vanilla One Block,https://modrinth.com/datapack/vanilla-one-block,https://cdn.modrinth.com/data/xb16810H/c1309b4a6bfa4a93d72593dfeaf4999bb3c8b5bb_96.webp,"For an even harder skyblock challenge, survive on a single grass block in the sky! This is vanilla oneblock!"
2457,SimpleCoreLib,https://modrinth.com/mod/simplecore-api,https://cdn.modrinth.com/data/mA7yWMPS/93ef9337f8d247e2c4e2c9c071c462717e5c9767.png,Required library mod for SimpleOres and all the SimpleOres add-ons.
2458,Footprint Particles,https://modrinth.com/datapack/footprint-particles,https://cdn.modrinth.com/data/iXruOT6m/855d88043f1b09dff79f5d4f3fb3c5fe9c6d6e7c_96.webp,Adds Footprints to the game!
2459,DarkSmelting,https://modrinth.com/mod/darksmelting,https://cdn.modrinth.com/data/Cs83btto/10b0354e39e8afde7d53bc8978234ab993b939c5_96.webp,"Smelt Armor, Tools and Weapons into their equivalent ingots"
2460,Gaming Deco,https://modrinth.com/mod/gaming-deco,https://cdn.modrinth.com/data/tTPzEplo/7b9d19c7020d66fd0d5c80f3b43ced1705fc20f2_96.webp,"PCs, Keyboard, RGB, what need a real gamer more?!"
2461,Sushi Go Crafting,https://modrinth.com/mod/sushigocrafting,https://cdn.modrinth.com/data/G9WbcGQ2/4a8c437c73cfb2431bf3d53bc974240f0d82676b_96.webp,A food mod for making Sushi!
2462,Traveler's Compass,https://modrinth.com/mod/travelers-compass,https://cdn.modrinth.com/data/WJLLirmC/c32b26fa6db1c1ecd72e88c9c28c51be2557ede8.png,"A compass that will help you find any mob, block or item nearby"
2463,More Bookshelves Variants,https://modrinth.com/mod/more-bookshelf-variants-lieonlion,https://cdn.modrinth.com/data/twjW6Ggd/17005f236fd2b34d18ae9d4c0e81e575165c8a31_96.webp,Bookshelves for all the different woods
2464,Improved Sign Editing,https://modrinth.com/mod/improved-sign-editing,https://cdn.modrinth.com/data/EWQifKYI/37386081a80cc0e3721baddf6032b3f3241b4378.png,🪵 Better sign editing functionality. Shift to the next and previous line during typing.
2465,Drawers Tooltip,https://modrinth.com/mod/drawers-tooltip,https://cdn.modrinth.com/data/eM9ZvCo1/1933c09e04bf0c43dbe10395bd7595e29def5cde_96.webp,Show what is inside Storage Drawers in item tooltips
2466,Exline's Copper Equipment,https://modrinth.com/mod/exlines-copper-equipment,https://cdn.modrinth.com/data/W921hp7s/1f2eaec5f682f91cd70b5c54ff38d8cc596e2cc4.gif,"This mod adds copper tools, a sword, armor, and horse armor. You can smelt down old copper equipment for copper nuggets!"
2467,Project MMO,https://modrinth.com/mod/project-mmo,https://cdn.modrinth.com/data/KFQYC1Uy/d13b3237c1bc6739932f3591d037ec648f80ca3e_96.webp,"Provides skills / stats / levels, that provide unique benefits!"
2468,MEDIEVAL CRAFT (weapons),https://modrinth.com/mod/medieval-craft-(weapons),https://cdn.modrinth.com/data/XGzo2c0O/6050fe20e0d290e5916f272eea04438b56a7b217_96.webp,"Medieval Craft adds 3D weapons, armor, mobs and structures."
2469,Excavated Variants,https://modrinth.com/mod/excavated_variants,https://cdn.modrinth.com/data/IZaMGxb0/icon.png,Automatically generated stone variants of ores
2470,Modular Golems,https://modrinth.com/mod/modular-golems,https://cdn.modrinth.com/data/gtGDlsAD/b51f8177bb4a8d27851fb1b7ed80f909d0aa8169_96.webp,Tinker style modularized metal golems
2471,Kelp Fertilizer,https://modrinth.com/mod/kelp-fertilizer,https://cdn.modrinth.com/data/eKxUpBGQ/bd1de7c4c3c2a2fc3fdf7686bf2794439cfd3bc7_96.webp,🌿 Kelp seaweed naturally filters sea water for rich nutrients. Kelp works like bone meal.
